state,age,total_pop,total_citizen_pop,total_registered,pct_total_registered,pct_total_registered_moe,pct_citizen_registered,pct_citizen_registered_moe,total_voted,pct_total_voted,pct_total_voted_moe,pct_citizen_voted,pct_citizen_voted_moe
OKLAHOMA,25 to 34,536,501,286,53.3,6.3,57.1,6.4,104,19.5,5,20.9,5.3
OKLAHOMA,35 to 44,419,362,218,52.1,7.1,60.3,7.5,108,25.7,6.2,29.7,7
OKLAHOMA,45 to 64,946,917,603,63.8,4.5,65.8,4.6,366,38.7,4.6,39.9,4.7
OKLAHOMA,65+,568,558,418,73.5,5.4,74.8,5.3,300,52.9,6.1,53.8,6.1
OREGON,Total,3078,2870,2008,65.2,2.5,70,2.5,1594,51.8,2.6,55.5,2.7
OREGON,18 to 24,380,358,149,39.1,7.2,41.6,7.5,89,23.4,6.3,24.9,6.6
OREGON,25 to 34,531,483,333,62.7,6.1,69,6.1,242,45.6,6.2,50.2,6.6
OREGON,35 to 44,497,436,311,62.6,6.3,71.4,6.3,237,47.8,6.5,54.4,6.9
OREGON,45 to 64,1066,994,757,71,4,76.2,3.9,615,57.6,4.4,61.8,4.5
OREGON,65+,604,599,457,75.8,5,76.3,5,410,68,5.5,68.5,5.5
PENNSYLVANIA,Total,9924,9511,6121,61.7,1.5,64.4,1.5,3803,38.3,1.5,40,1.5
PENNSYLVANIA,18 to 24,1119,1062,404,36.1,4.3,38,4.5,116,10.4,2.8,10.9,2.9
PENNSYLVANIA,25 to 34,1667,1511,852,51.1,3.7,56.4,3.9,424,25.4,3.2,28,3.5
PENNSYLVANIA,35 to 44,1484,1385,972,65.5,3.7,70.1,3.7,509,34.3,3.7,36.8,3.9
PENNSYLVANIA,45 to 64,3607,3525,2398,66.5,2.4,68,2.4,1633,45.3,2.5,46.3,2.5
PENNSYLVANIA,65+,2047,2027,1496,73.1,3,73.8,3,1121,54.8,3.3,55.3,3.3
RHODE ISLAND,Total,819,765,486,59.4,2.6,63.6,2.6,331,40.4,2.5,43.3,2.7
RHODE ISLAND,18 to 24,108,103,44,41.1,7,43.3,7.3,14,13,4.8,13.7,5
RHODE ISLAND,25 to 34,132,119,61,46.4,6.4,51.7,6.8,25,18.8,5,21,5.6
RHODE ISLAND,35 to 44,122,109,67,54.9,6.7,61.8,6.9,45,37.1,6.5,41.7,7
RHODE ISLAND,45 to 64,289,273,197,68.1,4.1,71.9,4,157,54.4,4.4,57.4,4.4
RHODE ISLAND,65+,167,161,117,69.7,5.3,72.2,5.2,90,53.7,5.7,55.7,5.8
SOUTH CAROLINA,Total,3667,3569,2458,67,2.3,68.9,2.3,1514,41.3,2.4,42.4,2.5
SOUTH CAROLINA,18 to 24,462,457,209,45.2,6.9,45.7,6.9,89,19.3,5.5,19.5,5.5
SOUTH CAROLINA,25 to 34,617,590,386,62.5,5.8,65.4,5.8,156,25.2,5.2,26.4,5.4
SOUTH CAROLINA,35 to 44,574,543,379,66.1,5.9,69.8,5.9,204,35.6,5.9,37.6,6.2
SOUTH CAROLINA,45 to 64,1294,1267,949,73.3,3.7,74.9,3.6,688,53.2,4.1,54.3,4.2
SOUTH CAROLINA,65+,720,712,535,74.3,4.8,75.1,4.8,376,52.2,5.5,52.8,5.6
SOUTH DAKOTA,Total,625,618,401,64.2,2.6,64.9,2.6,273,43.7,2.7,44.1,2.7
SOUTH DAKOTA,18 to 24,69,67,24,NA,NA,NA,NA,8,NA,NA,NA,NA
SOUTH DAKOTA,25 to 34,125,122,67,53.7,6,55.3,6.1,32,25.2,5.2,26,5.3
