fips,pop_2015
31119,34975
31121,7802
31123,4935
31125,3575
31127,6999
31129,4316
31131,15872
31133,2690
31135,2938
31137,9222
31139,7195
31141,32864
31143,5174
31145,10884
31147,8020
31149,1417
31151,14249
31153,175190
31155,20963
31157,36305
31159,16981
31161,5215
31163,3036
31165,1276
31167,5943
31169,5130
31171,693
31173,7073
31175,4152
31177,20277
31179,9403
31181,3591
31183,778
31185,13810
32001,24024
32003,2110330
32005,47501
32007,51849
32009,829
32011,2030
32013,17072
32015,5909
32017,5138
32019,52032
32021,4443
32023,43052
32027,6629
32029,3872
32031,444358
32033,9866
32510,54123
33001,60248
33003,47320
33005,76036
33007,32322
33009,88831
33011,406009
33013,147843
33015,302156
33017,126253
33019,43116
34001,273088
34003,938255
34005,448844
34007,510809
34009,94421
34011,155261
34013,800206
34015,291651
34017,679907
34019,125747
34021,373104
34023,838332
34025,627418
34027,498538
34029,588707
34031,510927
34033,63730
34035,333399
34037,143302
34039,557073
34041,107282
35001,674100
35003,3480
35005,65554
35006,26976
35007,12425
35009,50068
35011,1868
35013,213165
35015,57479
35017,28325
35019,4352
35021,723
35023,4433
35025,70985
35027,19276
35028,17725
35029,24281
35031,73386
35033,4613
35035,64178
35037,8423
35039,39287
35041,19064
35043,138327
35045,128125
35047,28144
35049,147276
35051,11233
35053,17076
35055,32698
35057,15482
35059,4157
35061,75580
36001,308598
36003,47372
36005,1460412
36007,196292
36009,78006
36011,78319
36013,130756
36015,87030
36017,48799
36019,81032
36021,61549
36023,48294
36025,45948
36027,295309
36029,924122
36031,38196
36033,50609
36035,53853
36037,58591
36039,47649
36041,4704
36043,62688
36045,116301
36047,2643546
36049,26836
36051,64514
36053,71718
36055,748504
36057,49556
36059,1362858
36061,1657183
36063,212540
36065,232014
36067,468233
36069,109431
36071,377544
36073,41512
36075,119899
36077,60676
36079,99473
36081,2346005
36083,159850
36085,475313
36087,325655
36089,110803
36091,226551
36093,155089
36095,31463
36097,18020
36099,34811
36101,97495
36103,1498947
36105,75136
36107,49323
36109,104283
36111,179952
36113,64448
36115,62253
36117,91359
36119,976103
36121,40957
36123,25065
37001,157389
37003,37058
37005,10869
37007,25594
37009,26727
37011,17440
37013,47389
37015,20188
37017,34211
37019,122297
37021,252149
37023,88644
37025,196315
37027,81537
37029,10289
37031,68729
37033,22851
37035,155805
37037,68418
37039,27132
37041,14284
37043,10668
37045,96868
37047,56686
37049,103015
37051,331752
37053,25135
37055,35441
37057,163690
37059,41677
37061,59093
37063,301174
37065,53770
37067,367922
37069,63659
37071,213182
37073,11533
37075,8594
37077,58252
37079,21002
37081,517722
37083,52230
37085,128205
37087,59661
37089,111975
37091,24287
37093,52802
37095,5437
37097,169564
37099,41338
37101,185357
37103,9796
37105,59476
37107,58126
37109,80504
37111,45049
37113,34113
37115,21167
37117,23230
37119,1034442
37121,15101
37123,27519
37125,94040
37127,93929
37129,219685
37131,20556
37133,193088
37135,141563
37137,12753
37139,39385
37141,57512
37143,13464
37145,39191
37147,176237
37149,20412
37151,142685
37153,45436
37155,134562
37157,91733
37159,138576
37161,66373
37163,63673
37165,35319
37167,60685
37169,46153
37171,72029
37173,14334
37175,33198
37177,4138
37179,222247
37181,44433
37183,1023859
37185,20206
37187,12293
37189,53108
37191,124454
37193,68320
37195,81393
37197,37659
37199,17559
38001,2393
38003,11023
38005,6815
38007,948
38009,6729
38011,3280
38013,2343
38015,93156
38017,170923
38019,3816
38021,5052
38023,2454
38025,4577
38027,2302
38029,3405
38031,3330
38033,1879
38035,70361
38037,2398
38039,2286
38041,2655
38043,2446
38045,4134
38047,1929
38049,5976
38051,2715
38053,12795
38055,9669
38057,8786
38059,30190
38061,10307
38063,2926
38065,1863
38067,7037
38069,4270
38071,11646
38073,5450
38075,2549
38077,16319
38079,14687
38081,3866
38083,1310
38085,4374
38087,782
38089,31850
38091,1916
38093,21005
38095,2249
38097,7989
38099,10872
38101,71430
38103,4096
38105,35301
39001,27914
39003,104093
39005,53224
39007,98396
39009,65793
39011,45749
39013,68943
39015,43703
39017,375569
39019,27716
39021,38941
39023,135624
39025,201867
39027,41822
39029,104632
39031,36579
39033,42277
39035,1257957
39037,51956
39039,38276
39041,193179
39043,75310
39045,151197
39047,28583
39049,1253674
39051,42283
39053,30083
39055,93895
39057,164047
39059,39385
39061,808405
39063,75493
39065,31613
39067,15393
39069,27472
39071,42939
39073,28491
39075,43868
39077,58277
39079,32564
39081,67471
39083,60916
39085,229571
39087,60921
39089,170425
39091,45260
39093,305291
39095,433315
39097,44095
39099,231764
39101,65379
39103,176128
39105,23187
39107,40706
39109,103953
39111,14266
39113,531293
39115,14746
39117,34950
39119,86119
39121,14456
39123,40758
39125,18955
39127,35958
39129,56975
39131,28245
39133,162260
39135,41266
39137,34011
39139,121641
